dataset,model,pair_count,probe_count,between_variance_term,probe_variance_term,total_variance,standard_error,probe_variance_share,design_effect,effective_trials,variance_reduction_from_previous_budget
refcoco,yoloworld,500,1,0.00027977320105400676,0.00022051455696202532,0.0005002877580160321,0.022367113314328967,0.44077544059145013,1.0,500.0,
refcoco,yoloworld,500,2,0.00027977320105400676,0.00011025727848101266,0.0003900304795350194,0.01974918933867969,0.2826888775781254,1.5592245594085499,641.3444387890627,0.22038772029572506
refcoco,yoloworld,500,5,0.00027977320105400676,4.4102911392405066e-05,0.00032387611244641184,0.017996558350040482,0.13617216490364745,3.2368982376341995,772.3443298072949,0.16961332654687522
refcoco,yoloworld,500,10,0.00027977320105400676,2.2051455696202533e-05,0.0003018246567502093,0.017373101529381832,0.07306048463248103,6.033021034676949,828.7721808461647,0.06808608245182379
refcoco,yoloworld,500,20,0.00027977320105400676,1.1025727848101267e-05,0.000290798928902108,0.017052827592575606,0.0379152973146365,11.625266628762448,860.1953244890467,0.03653024231624058
refcoco,yoloworld,500,40,0.00027977320105400676,5.512863924050633e-06,0.0002852860649780574,0.016890413404593074,0.01932398599446016,22.809757816933445,876.8177268919732,0.018957648657318193
refcoco,yoloworld,500,80,0.00027977320105400676,2.7564319620253166e-06,0.00028252963301603207,0.01680861781991702,0.009756257892668213,45.17874019327544,885.3721867603945,0.009661992997230029
refcocoplus,groundingdino,1000,1,3.539912912516947e-05,9.132231012658226e-05,0.00012672143925175172,0.011257061750374817,0.7206539845649668,1.0,1000.0,
refcocoplus,groundingdino,1000,2,3.539912912516947e-05,4.566115506329113e-05,8.106028418846059e-05,0.009003348498667626,0.5632987290931711,1.2793460154350333,1563.298729093171,0.3603269922824833
refcocoplus,groundingdino,1000,5,3.539912912516947e-05,1.8264462025316453e-05,5.366359115048592e-05,0.0073255437443568595,0.3403510952910028,2.1173840617401334,2361.4043811640113,0.33797923745590264
refcocoplus,groundingdino,1000,10,3.539912912516947e-05,9.132231012658227e-06,4.45313601378277e-05,0.006673182159796606,0.20507415413302732,3.5141141389152994,2845.667387197246,0.17017554764550136
refcocoplus,groundingdino,1000,20,3.539912912516947e-05,4.566115506329113e-06,3.9965244631498585e-05,0.006321807070094641,0.11425215955591403,6.307574293265633,3170.7910315623662,0.10253707706651372
refcocoplus,groundingdino,1000,40,3.539912912516947e-05,2.2830577531645566e-06,3.7682186878334025e-05,0.006138581829570575,0.06058718833214101,11.894494601966299,3362.900344953499,0.05712607977795714
refcocoplus,groundingdino,1000,80,3.539912912516947e-05,1.1415288765822783e-06,3.654065800175175e-05,0.0060448869304356515,0.031239964987153583,23.06833521936763,3467.9572339851334,0.03029359416607036
refcocoplus,owlv2,1000,1,7.133841311247957e-05,0.00012435806962025314,0.00019569648273273273,0.013989155897792144,0.635463999575771,1.0,1000.0,
refcocoplus,owlv2,1000,2,7.133841311247957e-05,6.217903481012657e-05,0.00013351744792260614,0.011554975029077567,0.46569969526506283,1.3645360004242288,1465.699695265063,0.3177319997878856
refcocoplus,owlv2,1000,5,7.133841311247957e-05,2.487161392405063e-05,9.62100270365302e-05,0.009808671012758568,0.2585137400970387,2.458144001696916,2034.0549603881545,0.27941981715903763
refcocoplus,owlv2,1000,10,7.133841311247957e-05,1.2435806962025315e-05,8.377422007450489e-05,0.0091528257972336,0.14844431796518653,4.2808240038180605,2335.998861686679,0.12925687004851938
refcocoplus,owlv2,1000,20,7.133841311247957e-05,6.217903481012658e-06,7.755631659349223e-05,0.008806606417542016,0.08017275386611648,7.92618400806035,2523.2823234562134,0.07422215898259332
refcocoplus,owlv2,1000,40,7.133841311247957e-05,3.108951740506329e-06,7.444736485298589e-05,0.008628288639874415,0.041760400071187156,15.216904016544929,2628.6556027762995,0.04008637693305839
refcocoplus,owlv2,1000,80,7.133841311247957e-05,1.5544758702531644e-06,7.289288898273273e-05,0.008537733246168607,0.02132548033075486,29.798344033514088,2684.7129461296336,0.020880200035593544
refcocoplus,yoloworld,1000,1,0.00012943950634574446,0.00012068829113924052,0.000250127797484985,0.015815429095822377,0.4825065120820302,1.0,1000.0,
refcocoplus,yoloworld,1000,2,0.00012943950634574446,6.034414556962026e-05,0.00018978365191536472,0.013776198746946296,0.3179628221957238,1.5174934879179698,1317.962822195724,0.24125325604101522
refcocoplus,yoloworld,1000,5,0.00012943950634574446,2.41376582278481e-05,0.00015357716457359256,0.01239262541084788,0.15716957852989652,3.069973951671879,1628.678314119586,0.19077769331743433
refcocoplus,yoloworld,1000,10,0.00012943950634574446,1.206882911392405e-05,0.00014150833545966852,0.011895727613713611,0.08528705446728828,5.657441391261728,1767.5834902055944,0.07858478926494816
refcocoplus,yoloworld,1000,20,0.00012943950634574446,6.034414556962025e-06,0.0001354739209027065,0.011639326479771348,0.044542997772211594,10.832376270441426,1846.3169576720204,0.042643527233644174
refcocoplus,yoloworld,1000,40,0.00012943950634574446,3.0172072784810127e-06,0.00013245671362422547,0.011508984039619894,0.022778817290006997,21.182246028800822,1888.3738743102729,0.0222714988861058
refcocoplus,yoloworld,1000,80,0.00012943950634574446,1.5086036392405063e-06,0.00013094810998498497,0.0114432560919078,0.011520621713543544,41.88198554551961,1910.1291153699403,0.011389408645003485
refl4,groundingdino,1000,1,3.447103417103812e-05,7.843306962025318e-05,0.0001129041037912913,0.01062563427712865,0.694687500157129,1.0,1000.0,
refl4,groundingdino,1000,2,3.447103417103812e-05,3.921653481012659e-05,7.368756898116472e-05,0.00858414637463532,0.5322001438282044,1.3053124998428711,1532.2001438282043,0.34734375007856444
refl4,groundingdino,1000,5,3.447103417103812e-05,1.5686613924050636e-05,5.015764809508876e-05,0.007082206442563558,0.3127462016223725,2.2212499993714845,2250.9848064894895,0.31932008629692266
refl4,groundingdino,1000,10,3.447103417103812e-05,7.843306962025318e-06,4.2314341133063436e-05,0.006504947435073048,0.1853581256851177,3.7478124985858394,2668.223131166059,0.15637310081118638
refl4,groundingdino,1000,20,3.447103417103812e-05,3.921653481012659e-06,3.839268765205078e-05,0.006196183313302696,0.10214584393138158,6.800937497014551,2940.7710346962494,0.09267906284255878
refl4,groundingdino,1000,40,3.447103417103812e-05,1.9608267405063296e-06,3.643186091154445e-05,0.006035881121389358,0.053821756326616496,12.907187493871971,3099.048496738043,0.0510729219656908
refl4,groundingdino,1000,80,3.447103417103812e-05,9.804133702531648e-07,3.545144754129128e-05,0.005954111818003697,0.027655101222911985,25.119687487586813,3184.752996610047,0.026910878163308394
refl4,owlv2,1000,1,5.948459495492328e-05,0.00011891977848101265,0.00017840437343593594,0.013356810002239903,0.6665743456323738,1.0,1000.0,
refl4,owlv2,1000,2,5.948459495492328e-05,5.9459889240506325e-05,0.0001189444841954296,0.010906167255063971,0.49989614602735016,1.3334256543676262,1499.8961460273501,0.3332871728161869
refl4,owlv2,1000,5,5.948459495492328e-05,2.378395569620253e-05,8.326855065112581e-05,0.00912516030824258,0.2856295145072393,2.3337026174705047,2142.518058028957,0.29993768761641004
refl4,owlv2,1000,10,5.948459495492328e-05,1.1891977848101265e-05,7.137657280302455e-05,0.008448465707039625,0.166608978003457,4.000830889308635,2499.4808020311134,0.14281475725361958
refl4,owlv2,1000,20,5.948459495492328e-05,5.945988924050633e-06,6.543058387897391e-05,0.00808891734900128,0.09087476485077452,7.335087432984897,2726.6205321647158,0.0833044890017286
refl4,owlv2,1000,40,5.948459495492328e-05,2.9729944620253163e-06,6.24575894169486e-05,0.007903011414451367,0.04760021143593095,14.00360052033742,2856.408246001307,0.045437382425387196
refl4,owlv2,1000,80,5.948459495492328e-05,1.4864972310126582e-06,6.097109218593594e-05,0.007808398823442354,0.024380360884457716,27.340626695042467,2926.0485098721597,0.023800105717965536
refl4,yoloworld,1000,1,0.00012733909868729488,0.00012147025316455696,0.0002488093518518518,0.015773691763561623,0.4882061396023563,1.0,1000.0,
refl4,yoloworld,1000,2,0.00012733909868729488,6.073512658227848e-05,0.00018807422526957336,0.013714015650770323,0.3229316855896905,1.5117938603976437,1322.9316855896905,0.24410306980117802
refl4,yoloworld,1000,5,0.00012733909868729488,2.4294050632911392e-05,0.00015163314932020627,0.012313941258598169,0.1602159603083178,3.047175441590575,1640.8638412332712,0.19375901135381424
refl4,yoloworld,1000,10,0.00012733909868729488,1.2147025316455696e-05,0.00013948612400375057,0.011810424378647474,0.08708411251092676,5.606144743578794,1783.7570125983407,0.08010798015415888
refl4,yoloworld,1000,20,0.00012733909868729488,6.073512658227848e-06,0.00013341261134552272,0.011550437712291372,0.0455242768803781,10.724083347555231,1864.9612607271836,0.04354205625546337
refl4,yoloworld,1000,40,0.00012733909868729488,3.036756329113924e-06,0.00013037585501640881,0.011418224687595213,0.023292321486457174,20.959960555508104,1908.4005379718299,0.022762138440188928
refl4,yoloworld,1000,80,0.00012733909868729488,1.518378164556962e-06,0.00012885747685185183,0.011351540725903768,0.01178339202080334,41.431714971413854,1930.8879696434637,0.011646160743228773
